match_num,team_1,abbrev_1,game_1,team_2,abbrev_2,game_2,start,series_id,match_id,url,status
31,Sunrisers Hyderabad,SRH,8,Mumbai Indians,MI,8,2021-05-04 14:00:00,1249214,1254088,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-mumbai-indians-31st-match-1254088/full-scorecard,Match yet to begin
32,Rajasthan Royals,RR,8,Chennai Super Kings,CSK,8,2021-05-05 14:00:00,1249214,1254089,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-chennai-super-kings-32nd-match-1254089/full-scorecard,Match yet to begin
33,Royal Challengers Bangalore,RCB,9,Punjab Kings,KXIP,9,2021-05-06 14:00:00,1249214,1254090,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-punjab-kings-33rd-match-1254090/full-scorecard,Match yet to begin
34,Sunrisers Hyderabad,SRH,9,Chennai Super Kings,CSK,9,2021-05-07 14:00:00,1249214,1254091,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-chennai-super-kings-34th-match-1254091/full-scorecard,Match yet to begin
35,Kolkata Knight Riders,KKR,9,Delhi Capitals,DC,9,2021-05-08 10:00:00,1249214,1254092,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-delhi-capitals-35th-match-1254092/full-scorecard,Match yet to begin
36,Rajasthan Royals,RR,9,Mumbai Indians,MI,9,2021-05-08 14:00:00,1249214,1254093,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-mumbai-indians-36th-match-1254093/full-scorecard,Match yet to begin
37,Chennai Super Kings,CSK,10,Punjab Kings,KXIP,10,2021-05-09 10:00:00,1249214,1254094,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-punjab-kings-37th-match-1254094/full-scorecard,Match yet to begin
38,Royal Challengers Bangalore,RCB,10,Sunrisers Hyderabad,SRH,10,2021-05-09 14:00:00,1249214,1254095,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-sunrisers-hyderabad-38th-match-1254095/full-scorecard,Match yet to begin
39,Mumbai Indians,MI,10,Kolkata Knight Riders,KKR,10,2021-05-10 14:00:00,1249214,1254096,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-kolkata-knight-riders-39th-match-1254096/full-scorecard,Match yet to begin
40,Delhi Capitals,DC,10,Rajasthan Royals,RR,10,2021-05-11 14:00:00,1249214,1254097,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-rajasthan-royals-40th-match-1254097/full-scorecard,Match yet to begin
41,Chennai Super Kings,CSK,11,Kolkata Knight Riders,KKR,11,2021-05-12 14:00:00,1249214,1254098,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-kolkata-knight-riders-41st-match-1254098/full-scorecard,Match yet to begin
42,Mumbai Indians,MI,11,Punjab Kings,KXIP,11,2021-05-13 10:00:00,1249214,1254099,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-punjab-kings-42nd-match-1254099/full-scorecard,Match yet to begin
43,Sunrisers Hyderabad,SRH,11,Rajasthan Royals,RR,11,2021-05-13 14:00:00,1249214,1254100,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-rajasthan-royals-43rd-match-1254100/full-scorecard,Match yet to begin
44,Royal Challengers Bangalore,RCB,11,Delhi Capitals,DC,11,2021-05-14 14:00:00,1249214,1254101,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-delhi-capitals-44th-match-1254101/full-scorecard,Match yet to begin
45,Kolkata Knight Riders,KKR,12,Punjab Kings,KXIP,12,2021-05-15 14:00:00,1249214,1254102,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-punjab-kings-45th-match-1254102/full-scorecard,Match yet to begin
46,Rajasthan Royals,RR,12,Royal Challengers Bangalore,RCB,12,2021-05-16 10:00:00,1249214,1254103,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-royal-challengers-bangalore-46th-match-1254103/full-scorecard,Match yet to begin
47,Chennai Super Kings,CSK,12,Mumbai Indians,MI,12,2021-05-16 14:00:00,1249214,1254104,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-mumbai-indians-47th-match-1254104/full-scorecard,Match yet to begin
48,Delhi Capitals,DC,12,Sunrisers Hyderabad,SRH,12,2021-05-17 14:00:00,1249214,1254105,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-sunrisers-hyderabad-48th-match-1254105/full-scorecard,Match yet to begin
49,Kolkata Knight Riders,KKR,13,Rajasthan Royals,RR,13,2021-05-18 14:00:00,1249214,1254106,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-rajasthan-royals-49th-match-1254106/full-scorecard,Match yet to begin
50,Sunrisers Hyderabad,SRH,13,Punjab Kings,KXIP,13,2021-05-19 14:00:00,1249214,1254107,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-punjab-kings-50th-match-1254107/full-scorecard,Match yet to begin
51,Royal Challengers Bangalore,RCB,13,Mumbai Indians,MI,13,2021-05-20 14:00:00,1249214,1254108,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-mumbai-indians-51st-match-1254108/full-scorecard,Match yet to begin
52,Kolkata Knight Riders,KKR,14,Sunrisers Hyderabad,SRH,14,2021-05-21 10:00:00,1249214,1254109,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-sunrisers-hyderabad-52nd-match-1254109/full-scorecard,Match yet to begin
53,Delhi Capitals,DC,13,Chennai Super Kings,CSK,13,2021-05-21 14:00:00,1249214,1254110,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-chennai-super-kings-53rd-match-1254110/full-scorecard,Match yet to begin
54,Punjab Kings,KXIP,14,Rajasthan Royals,RR,14,2021-05-22 14:00:00,1249214,1254111,https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-rajasthan-royals-54th-match-1254111/full-scorecard,Match yet to begin
55,Mumbai Indians,MI,14,Delhi Capitals,DC,14,2021-05-23 10:00:00,1249214,1254112,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-delhi-capitals-55th-match-1254112/full-scorecard,Match yet to begin
56,Royal Challengers Bangalore,RCB,14,Chennai Super Kings,CSK,14,2021-05-23 14:00:00,1249214,1254113,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-chennai-super-kings-56th-match-1254113/full-scorecard,Match yet to begin
