match_num,team_1,abbrev_1,game_1,team_2,abbrev_2,game_2,start,series_id,match_id,url,status
1,Mumbai Indians,MI,1,Chennai Super Kings,CSK,1,,1210595,1216492,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-chennai-super-kings-1st-match-1216492/full-scorecard,Super Kings won by 5 wickets (with 4 balls remaining)
2,Delhi Capitals,DC,1,Punjab Kings,PBKS,1,,1210595,1216493,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493/full-scorecard,Match tied (Capitals won the one-over eliminator)
3,Royal Challengers Bangalore,RCB,1,Sunrisers Hyderabad,SRH,1,,1210595,1216534,https://www.espncricinfo.com/series/ipl-2020-21-1210595/sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534/full-scorecard,RCB won by 10 runs
4,Rajasthan Royals,RR,1,Chennai Super Kings,CSK,2,,1210595,1216496,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-chennai-super-kings-4th-match-1216496/full-scorecard,Royals won by 16 runs
5,Mumbai Indians,MI,2,Kolkata Knight Riders,KKR,1,,1210595,1216508,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508/full-scorecard,Mum Indians won by 49 runs
6,Punjab Kings,PBKS,2,Royal Challengers Bangalore,RCB,2,,1210595,1216510,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-royal-challengers-bangalore-6th-match-1216510/full-scorecard,Kings XI won by 97 runs
7,Delhi Capitals,DC,2,Chennai Super Kings,CSK,3,,1210595,1216539,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-delhi-capitals-7th-match-1216539/full-scorecard,Capitals won by 44 runs
8,Sunrisers Hyderabad,SRH,2,Kolkata Knight Riders,KKR,2,,1210595,1216545,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545/full-scorecard,KKR won by 7 wickets (with 12 balls remaining)
9,Punjab Kings,PBKS,3,Rajasthan Royals,RR,2,,1210595,1216527,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-kings-xi-punjab-9th-match-1216527/full-scorecard,Royals won by 4 wickets (with 3 balls remaining)
10,Royal Challengers Bangalore,RCB,3,Mumbai Indians,MI,3,,1210595,1216547,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-mumbai-indians-10th-match-1216547/full-scorecard,Match tied (RCB won the one-over eliminator)
11,Sunrisers Hyderabad,SRH,3,Delhi Capitals,DC,3,,1210595,1216532,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532/full-scorecard,Sunrisers won by 15 runs
12,Kolkata Knight Riders,KKR,3,Rajasthan Royals,RR,3,,1210595,1216504,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-kolkata-knight-riders-12th-match-1216504/full-scorecard,KKR won by 37 runs
13,Mumbai Indians,MI,4,Punjab Kings,PBKS,4,,1210595,1216503,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-mumbai-indians-13th-match-1216503/full-scorecard,Mum Indians won by 48 runs
14,Sunrisers Hyderabad,SRH,4,Chennai Super Kings,CSK,4,,1210595,1216516,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-sunrisers-hyderabad-14th-match-1216516/full-scorecard,Sunrisers won by 7 runs
15,Rajasthan Royals,RR,4,Royal Challengers Bangalore,RCB,4,,1210595,1216514,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-rajasthan-royals-15th-match-1216514/full-scorecard,RCB won by 8 wickets (with 5 balls remaining)
16,Delhi Capitals,DC,4,Kolkata Knight Riders,KKR,4,,1210595,1216515,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515/full-scorecard,Capitals won by 18 runs
17,Mumbai Indians,MI,5,Sunrisers Hyderabad,SRH,5,,1210595,1216538,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-sunrisers-hyderabad-17th-match-1216538/full-scorecard,Mum Indians won by 34 runs
18,Punjab Kings,PBKS,5,Chennai Super Kings,CSK,5,,1210595,1216513,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard,Super Kings won by 10 wickets (with 14 balls remaining)
19,Delhi Capitals,DC,5,Royal Challengers Bangalore,RCB,5,,1210595,1216519,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519/full-scorecard,Capitals won by 59 runs
20,Mumbai Indians,MI,6,Rajasthan Royals,RR,5,,1210595,1216511,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-rajasthan-royals-20th-match-1216511/full-scorecard,Mum Indians won by 57 runs
21,Kolkata Knight Riders,KKR,5,Chennai Super Kings,CSK,6,,1210595,1216501,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501/full-scorecard,KKR won by 10 runs
22,Sunrisers Hyderabad,SRH,6,Punjab Kings,PBKS,6,,1210595,1216542,https://www.espncricinfo.com/series/ipl-2020-21-1210595/sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542/full-scorecard,Sunrisers won by 69 runs
23,Delhi Capitals,DC,6,Rajasthan Royals,RR,6,,1210595,1216500,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-delhi-capitals-23rd-match-1216500/full-scorecard,Capitals won by 46 runs
24,Kolkata Knight Riders,KKR,6,Punjab Kings,PBKS,7,,1210595,1216523,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-kolkata-knight-riders-24th-match-1216523/full-scorecard,KKR won by 2 runs
25,Royal Challengers Bangalore,RCB,6,Chennai Super Kings,CSK,7,,1210595,1216525,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525/full-scorecard,RCB won by 37 runs
26,Sunrisers Hyderabad,SRH,7,Rajasthan Royals,RR,7,,1210595,1216507,https://www.espncricinfo.com/series/ipl-2020-21-1210595/sunrisers-hyderabad-vs-rajasthan-royals-26th-match-1216507/full-scorecard,Royals won by 5 wickets (with 1 ball remaining)
27,Delhi Capitals,DC,7,Mumbai Indians,MI,7,,1210595,1216529,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-delhi-capitals-27th-match-1216529/full-scorecard,Mum Indians won by 5 wickets (with 2 balls remaining)
28,Royal Challengers Bangalore,RCB,7,Kolkata Knight Riders,KKR,7,,1210595,1216540,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-kolkata-knight-riders-28th-match-1216540/full-scorecard,RCB won by 82 runs
29,Chennai Super Kings,CSK,8,Sunrisers Hyderabad,SRH,8,,1210595,1216528,https://www.espncricinfo.com/series/ipl-2020-21-1210595/sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528/full-scorecard,Super Kings won by 20 runs
30,Delhi Capitals,DC,8,Rajasthan Royals,RR,8,,1210595,1216543,https://www.espncricinfo.com/series/ipl-2020-21-1210595/delhi-capitals-vs-rajasthan-royals-30th-match-1216543/full-scorecard,Capitals won by 13 runs
31,Royal Challengers Bangalore,RCB,8,Punjab Kings,PBKS,8,,1210595,1216531,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531/full-scorecard,Kings XI won by 8 wickets
32,Kolkata Knight Riders,KKR,8,Mumbai Indians,MI,8,,1210595,1216526,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-kolkata-knight-riders-32nd-match-1216526/full-scorecard,Mum Indians won by 8 wickets (with 19 balls remaining)
